dimension_label,Unit,Country_code,Country,Year,Green_bond_percent
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2014,0.29659
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2015,0.55248
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2016,0.7326
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2017,2.64546
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2018,2.01331
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2019,3.44293
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2020,3.60965
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2021,7.29066
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2022,9.1621
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2023,6.76785
Green bond issuance by corporates and governments,Percentage of total,EU27_2020,European Union - 27 countries (from 2020),2024,
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2014,0
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2015,0
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2016,0.10545
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2017,0
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2018,26.26426
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2019,0
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2020,2.16001
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2021,9.04741
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2022,16.68062
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2023,7.741
Green bond issuance by corporates and governments,Percentage of total,BE,Belgium,2024,1.75
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2014,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2015,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2016,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2017,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2018,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2019,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2020,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2021,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2022,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2023,0
Green bond issuance by corporates and governments,Percentage of total,BG,Bulgaria,2024,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2014,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2015,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2016,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2017,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2018,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2019,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2020,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2021,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2022,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2023,0
Green bond issuance by corporates and governments,Percentage of total,CZ,Czechia,2024,1.66
Green bond issuance by corporates and governments,Percentage of total,DK,Denmark,2014,0
Green bond issuance by corporates and governments,Percentage of total,DK,Denmark,2015,0.35892
Green bond issuance by corporates and governments,Percentage of total,DK,Denmark,2016,0
Green bond issuance by corporates and governments,Percentage of total,DK,Denmark,2017,1.72883
Green bond issuance by corporates and governments,Percentage of total,DK,Denmark,2018,0
Green bond issuance by corporates and governments,Percentage of total,DK,Denmark,2019,7.39435
